Index,FullAcc,FalseNeg,FalsePos
0,0.9733314043,0.0011051489,0.2153332659
1,0.9796248071,0.0019053964,0.1663798666
2,0.9802155671,0.0014371257,0.1662870159
3,0.9874131944,0.0014980970,0.0964640199
4,0.9844714506,0.0021218797,0.1139317014
5,0.9850139853,0.0025140231,0.1075279756
6,0.9834707755,0.0018643358,0.1230784588
7,0.9815297068,0.0009967807,0.1445138269
8,0.9874614198,0.0017523050,0.0954278523
9,0.9857011960,0.0028066388,0.1018325698
10,0.9845679012,0.0018076352,0.1166293507
11,0.9854239005,0.0016314313,0.1116699169
12,0.9803843557,0.0010801296,0.1641537481
13,0.9845920139,0.0016514949,0.1392007727
14,0.9780092593,0.0010665813,0.1816288273
15,0.9639154128,0.0015730607,0.2689932635
16,0.9305555556,0.0013816836,0.4802106336
17,0.9394290123,0.0009436157,0.4733269598
18,0.9461323302,0.0018217290,0.4446613914
19,0.9437813465,0.0014160994,0.4371700106
20,0.9478925540,0.0014294811,0.4172362556
21,0.9723789545,0.0018417629,0.2940049275
22,0.9751760224,0.0012873824,0.2749087847
23,0.9661699460,0.0016087771,0.2775020678
24,0.9639998071,0.0016617258,0.2735966338
25,0.9571518133,0.0025610427,0.2914969229
26,0.9440345293,0.0016293823,0.3625571509
27,0.9576581790,0.0014527135,0.3036766018
28,0.9748022762,0.0014560015,0.2507924433
29,0.9705343364,0.0010267207,0.2854211924
30,0.9736328125,0.0013641679,0.2618538549
31,0.9705584491,0.0015529369,0.2726845874
32,0.9728612076,0.0013336786,0.2768397989
33,0.9939959491,0.0013267860,0.0395502515
34,0.9867018711,0.0015975292,0.1131055114
35,0.9914761767,0.0012052549,0.0366345311
36,0.9877989969,0.0015654020,0.1071942446
37,0.9915726273,0.0021841901,0.0335009390
38,0.9939838927,0.0038158525,0.0168643704
39,0.9957802855,0.0014071877,0.0233851957
40,0.9845076196,0.0019462213,0.0816167069
41,0.9864728009,0.0028868699,0.0599403836
42,0.9769965278,0.0005656718,0.1773764259
43,0.9926818094,0.0006500871,0.0501837082
44,0.9954306520,0.0012132066,0.0211970971
45,0.9943817515,0.0030657432,0.0129542160
46,0.9670018326,0.0002591121,0.5913346397
47,0.9572844329,0.0005131626,0.4141151436
48,0.9570794753,0.0005702436,0.3798617113
49,0.9791184414,0.0010384076,0.1595949855
50,0.9914761767,0.0015500082,0.0600506329
51,0.9860508295,0.0013279667,0.0975789377
52,0.9929349923,0.0010242451,0.0423546896
53,0.9959370177,0.0010653061,0.0221411605
54,0.9407793210,0.0001503778,0.6099838168
55,0.9707754630,0.0006734606,0.3612126752
56,0.9629750193,0.0008010681,0.4152401988
57,0.9946711034,0.0018672170,0.0259860399
58,0.9952136381,0.0015768029,0.0248013274
59,0.9949122299,0.0018230896,0.0237266175
60,0.9948760610,0.0012546515,0.0258158419
61,0.9947796103,0.0015632772,0.0252501563
62,0.9946952160,0.0011697241,0.0272907455
63,0.9935739776,0.0018451504,0.0303622426
64,1.0000000000,0.0000000000,0.0000000000
65,0.9944782022,0.0033771382,0.0153669879
66,0.9940923997,0.0019841580,0.0189328744
67,0.9918016975,0.0021751995,0.0261174324
68,0.9938392168,0.0031469102,0.0146280878
69,1.0000000000,0.0000000000,0.0000000000
70,0.9950689622,0.0031735779,0.0156570842
71,0.9925612461,0.0033915575,0.0266759291
72,0.9926697531,0.0032649730,0.0264882389
73,0.9926094715,0.0034338652,0.0258002867
74,0.9924406829,0.0040105204,0.0247183099
75,0.9923442323,0.0025048867,0.0326086957
76,0.9883656443,0.0023300511,0.1038071400
77,0.9883656443,0.0024379316,0.1018941868
78,0.9914158951,0.0016665778,0.0698643180
79,0.9926938657,0.0021451839,0.0576024909
80,0.9913315008,0.0017293044,0.0768828452
81,0.9831211420,0.0028397511,0.1153175833
82,0.9801311728,0.0019882598,0.1448282516
83,0.9730541088,0.0030324676,0.1908469427
84,0.9939597801,0.0027122393,0.0416607824
85,0.9928626543,0.0009597055,0.0708532423
86,0.9933207948,0.0013532689,0.0628133705
87,0.9903549383,0.0013847676,0.0901543650
88,0.9925130208,0.0015060042,0.0663612565
89,0.9924045139,0.0026124474,0.0584811155
90,0.9910180363,0.0016605823,0.0818783069
91,0.9876060957,0.0024261973,0.0693937180
92,0.9874493634,0.0026603894,0.0719789991
93,0.9865451389,0.0024587090,0.0801399676
94,0.9871117863,0.0020656574,0.0794267461
95,0.9868344907,0.0008039115,0.1283136279
96,0.9861111111,0.0011124663,0.1146872653
97,0.9856650270,0.0015861707,0.1126893939
98,0.9765745563,0.0018654951,0.1697066566
99,0.9854721258,0.0026051560,0.1006458023

Avg accuracy percent: 98.18397955246917%
Avg false negative percent: 0.17448972031451304%
Avg false positive percent: 14.58842009521471%