Index,InferTime,PostProcessTime
0,0.0528566837,0.0603768826
1,0.0528230667,0.0102300644
2,0.0525531769,0.0113008022
3,0.0527238846,0.0112457275
4,0.0542318821,0.0092720985
5,0.0529308319,0.0098292828
6,0.0531949997,0.0091617107
7,0.0526332855,0.0095250607
8,0.0533540249,0.0099937916
9,0.0533659458,0.0104279518
10,0.0532586575,0.0099573135
11,0.0530197620,0.0091028214
12,0.0525236130,0.0092289448
13,0.0528786182,0.0089199543
14,0.0534741879,0.0092468262
15,0.0545957088,0.0095415115
16,0.0562393665,0.0303466320
17,0.0544550419,0.0097327232
18,0.0555644035,0.0096375942
19,0.0545203686,0.0098540783
20,0.0542149544,0.0096766949
21,0.0564754009,0.0095942020
22,0.0548577309,0.0095510483
23,0.0568609238,0.0095062256
24,0.0547170639,0.0092542171
25,0.0549085140,0.0112056732
26,0.0544750690,0.0101869106
27,0.0564351082,0.0108911991
28,0.0597043037,0.0103139877
29,0.0570812225,0.0095987320
30,0.0552294254,0.0101964474
31,0.0558679104,0.0101575851
32,0.0544691086,0.0106160641
33,0.0543446541,0.0097649097
34,0.0541360378,0.0105538368
35,0.0550501347,0.0113024712
36,0.0552160740,0.0103683472
37,0.0547423363,0.0099754333
38,0.0551030636,0.0097401142
39,0.0542368889,0.0095531940
40,0.0558657646,0.0124487877
41,0.0551595688,0.0105760098
42,0.0561208725,0.0099945068
43,0.0564639568,0.0102746487
44,0.0552182198,0.0105843544
45,0.0543723106,0.0100462437
46,0.0545604229,0.0105183125
47,0.0554187298,0.0096926689
48,0.0547144413,0.0096943378
49,0.0564324856,0.0098149776
50,0.0550293922,0.0106000900
51,0.0551755428,0.0093917847
52,0.0542130470,0.0092914104
53,0.0528542995,0.0090603828
54,0.0525023937,0.0092213154
55,0.0536084175,0.0092203617
56,0.0528593063,0.0094046593
57,0.0528945923,0.0092711449
58,0.0528626442,0.0088953972
59,0.0528345108,0.0092160702
60,0.0527701378,0.0096695423
61,0.0528275967,0.0092866421
62,0.0531673431,0.0092236996
63,0.0525224209,0.0088498592
64,0.0528178215,0.0053498745
65,0.0534591675,0.0091328621
66,0.0528001785,0.0091633797
67,0.0530595779,0.0091102123
68,0.0529782772,0.0090901852
69,0.0527291298,0.0035469532
70,0.0528299809,0.0092165470
71,0.0525698662,0.0095517635
72,0.0527889729,0.0090584755
73,0.0528090000,0.0092597008
74,0.0523691177,0.0091943741
75,0.0528914928,0.0088076591
76,0.0525703430,0.0089523792
77,0.0527231693,0.0092461109
78,0.0525262356,0.0090248585
79,0.0524072647,0.0091736317
80,0.0526757240,0.0090165138
81,0.0528776646,0.0092012882
82,0.0550954342,0.0094447136
83,0.0527870655,0.0087032318
84,0.0526683331,0.0096461773
85,0.0524089336,0.0089468956
86,0.0528104305,0.0092186928
87,0.0527114868,0.0091121197
88,0.0526566505,0.0088763237
89,0.0525960922,0.0088956356
90,0.0528063774,0.0092566013
91,0.0523574352,0.0089523792
92,0.0525877476,0.0091569424
93,0.0528116226,0.0089173317
94,0.0527892113,0.0091316700
95,0.0529239178,0.0089256763
96,0.0524353981,0.0091373920
97,0.0528926849,0.0092315674
98,0.0526320934,0.0093722343
99,0.0532760620,0.0092458725

Avg Inference Time: 53.8090181350708 ms
Avg Post-Processing Time: 10.224545001983643 ms
Avg Total Time: 64.03356313705444 ms